bid_id	contract_year	version	bnchmk_e0012	bnchmk_e0013	bnchmk_e0014	bnchmk_e0015	bnchmk_e0016	bnchmk_e0017	bnchmk_e0018	bnchmk_e0019	bnchmk_e0023	bnchmk_e0024	bnchmk_e0025	bnchmk_e0036	bnchmk_f0012	bnchmk_f0015	bnchmk_f0036	bnchmk_g0012	bnchmk_g0015	bnchmk_g0031	bnchmk_g0036	bnchmk_h0036	bnchmk_i0036	bnchmk_j0036	bnchmk_k0036	bnchmk_l0016	bnchmk_l0017	bnchmk_l0018	bnchmk_l0036	bnchmk_m0016	bnchmk_m0017	bnchmk_m0018	bnchmk_m0036	bnchmk_n0036	bnchmk_o0036	bnchmk_p0036	bnchmk_q0036	bnchmk_r0036	bnchmk_s0036	bnchmk_t0036	bnchmk_t0037	bnchmk_u0036
H0474_002_0	2011	7	8554.074047	814.7602	0.039299172	0.934572399	0.897844477	731.5279	604.03	672.76	127.5	95.63	0	8554.074047	8332.123208	0.934572399	0.934572399	221.9508387	0.934572399		0	814.7602	761.4524	1	672.7557	0.746	0.254	1	0.5307		N/A		0.4693	0.093387494	0.196173174	0.233	n/a	n/a	n/a	8554.074047	1	"Rochester, NY"
H0474_801_0	2011	5	600	814.7621	0.022366775	0.765639576	0.748514688	609.8614	471.35	629.71	138.51	103.88	0	600	584.3064908	0.765639576	0.765639576	15.69350921	0.765639576		0	814.7621	623.8141	1	629.7138	0.746	0.254	1	0.5307		N/A		0.4693	0.093387494	0.196173174	0.233	n/a	n/a	n/a	600	1	"Rochester, NY"
H0474_802_0	2011	5	600	814.7621	0.022366775	0.765639576	0.748514688	609.8614	471.35	629.71	138.51	103.88	0	600	584.3064908	0.765639576	0.765639576	15.69350921	0.765639576		0	814.7621	623.8141	1	629.7138	0.746	0.254	1	0.5307		N/A		0.4693	0.093387494	0.196173174	0.233	n/a	n/a	n/a	600	1	"Rochester, NY"
H0490_001_0	2011	9	3866	814.6233	0.013387415	1.002131	0.988715057	805.4303	636.31	643.57	169.12	126.84	0	3866	3174.978273	0.960632071	1.002131	691.0217267	1.192802571		0	814.6233	816.3593	1	643.5727	0.746	0.254	1	0.5307		N/A		0.4693	0.077397718	0.163525579	0.233	n/a	n/a	n/a	2129	0.550698396	"Columbus, OH"
H0490_004_0	2011	7	13017	814.6251	0.002802801	1.21945	1.216032125	990.6102	897.08	737.71	93.53	70.15	0	13017	661.155125	1.086475445	1.21945	12355.84488	1.226565402		0	814.6251	993.3945	1	737.7108	0.746	0.254	1	0.5307		N/A		0.4693	0.077285827	0.16239838	0.233	n/a	n/a	n/a	8161	0.626949374	"Columbus, OH"
H0490_005_0	2011	7	4572	814.7819	0.013387415	0.8982	0.886175424	722.0397	606.26	684.13	115.78	86.84	0	4572	3749.04	0.860754324	0.8982	822.96	1.068785857		0	814.7819	731.8371	1	684.1309	0.746	0.254	1	0.5307		N/A		0.4693	0.077096115	0.156070665	0.233	n/a	n/a	n/a	4572	1	"Columbus, OH"
H0504_015_0	2011	6	464928.5032	943.1475	0.013603634	1.058378077	1.043980289	984.6274	779.94	747.08	204.69	153.52	0	464928.5032	446076.9048	1.041266943	1.058378077	18851.59847	1.463271148		0	943.1475	998.2066	1	747.0831	0.746	0.254	1	0.5307		N/A		0.4693	0.06516254	0.155546936	0.233	n/a	n/a	n/a	464928.5032	1	"Los Angeles-Long Beach-Santa Ana, CA"
H0504_017_0	2011	5	29379.48086	891.82	0.016392441	0.973549043	0.957590198	853.9981	711.48	742.99	142.52	106.89	0	29379.48086	28211.79639	0.955400613	0.973549043	1167.684469	1.41202349		0	891.82	868.2305	1	742.9901	0.746	0.254	1	0.5307		N/A		0.4693	0.068592167	0.140424165	0.233	n/a	n/a	n/a	29379.48086	1	"Riverside-San Bernardino-Ontario, CA"
H0504_021_0	2011	7	38093.4105	959.1501	0.017232955	1.061023717	1.042739144	1000.1434	756.84	725.82	243.3	182.48	0	38093.4105	34724.07118	1.03758904	1.061023717	3369.339317	1.302539139		0	959.1501	1017.681	1	725.8191	0.746	0.254	1	0.5307		N/A		0.4693	0.06516254	0.155546936	0.233	n/a	n/a	n/a	38093.4105	1	"Los Angeles-Long Beach-Santa Ana, CA"
H0504_026_0	2011	6	12599.76388	900.17	0.009003587	0.988616921	0.979715822	881.9108	740.02	755.34	141.89	106.42	0	12599.76388	12052.4907	0.973076039	0.988616921	547.2731874	1.33087073		0	900.17	889.9233	1	755.3415	0.746	0.254	1	0.5307		N/A		0.4693	0.068592167	0.140424165	0.233	n/a	n/a	n/a	12599.76388	1	"Riverside-San Bernardino-Ontario, CA"
H0504_803_0	2011	3	123737.4105	888.221	0.0175	0.832754665	0.818181459	726.7259	823.43	1006.41	0	0	118.19	123737.4105	123737.4105	0.832754665	0.832754665	0	0		0	888.221	739.6702	1	1006.4149	0.746	0.254	1	0.5307		N/A		0.4693	0.065514192	0.149403465	0.233	n/a	n/a	n/a	54589.48154	0.441172005	n/a
H0504_804_0	2011	3	10083.82238	882.2027	0.0175	0.835418596	0.820798771	724.1109	697.87	850.23	26.24	19.68	0	10083.82238	10071.82238	0.835851881	0.835418596	12	0.471754802		0	882.2027	737.0085	1	850.2328	0.746	0.254	1	0.5307		N/A		0.4693	0.058037703	0.127070215	0.233	n/a	n/a	n/a	6470.295036	0.641651032	"San Francisco-Oakland-Fremont, CA"
