bid_id	contract_year	version	opt_sup_b0016	opt_sup_b0017	opt_sup_b0018	opt_sup_b0019	opt_sup_b0020	opt_sup_c0016	opt_sup_c0017	opt_sup_c0018	opt_sup_c0019	opt_sup_c0020	opt_sup_d0016	opt_sup_d0017	opt_sup_d0018	opt_sup_d0019	opt_sup_d0020	opt_sup_d0021	opt_sup_e0016	opt_sup_e0017	opt_sup_e0018	opt_sup_e0019	opt_sup_e0020	opt_sup_e0021	opt_sup_f0016	opt_sup_f0017	opt_sup_f0018	opt_sup_f0019	opt_sup_f0020	opt_sup_f0021	opt_sup_f0030	opt_sup_f0031	opt_sup_g0016	opt_sup_g0017	opt_sup_g0018	opt_sup_g0019	opt_sup_g0020	opt_sup_g0021	opt_sup_g0030	opt_sup_g0031	opt_sup_h0016	opt_sup_h0017	opt_sup_h0018	opt_sup_h0019	opt_sup_h0020	opt_sup_h0021	opt_sup_h0030	opt_sup_h0031	opt_sup_i0016	opt_sup_i0017	opt_sup_i0018	opt_sup_i0019	opt_sup_i0020	opt_sup_i0021	opt_sup_i0030	opt_sup_i0031	opt_sup_j0016	opt_sup_j0017	opt_sup_j0018	opt_sup_j0019	opt_sup_j0020	opt_sup_j0021	opt_sup_j0030
H0062_003_0	2018	4	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0062_004_0	2018	4	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0062_005_0	2018	4	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0088_001_0	2018	4	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0104_012_0	2018	6	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0104_014_0	2018	7	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0104_015_0	2018	4	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0107_003_0	2018	7	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	
H0107_004_0	2018	7	1	2	3	4	5	Optional Supplemental					38.38675231	0	0	0	0	38.38675231	13.16111006	0	0	0	0	13.16111006	25.22564225	0	0	0	0	25.22564225		0	6.129457186	0	0	0	0	6.129457186	0	0	0.926137096	0	0	0	0	0.926137096	0	0	32.3	0	0	0	0	32.3		0	2586.448496	0	0	0	0	2586.448496	
H0111_001_0	2018	4	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0111_002_0	2018	4	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0150_007_0	2018	5	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	
H0150_012_0	2018	3	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	
H0150_024_1	2018	4	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	
H0150_024_2	2018	4	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	
H0154_008_0	2018	9	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0154_011_0	2018	10	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0154_012_0	2018	10	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0154_014_0	2018	11	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0154_015_1	2018	11	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0154_015_2	2018	11	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0169_001_0	2018	4	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0169_002_0	2018	4	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0169_003_0	2018	4	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0174_001_0	2018	6	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	
H0251_002_0	2018	3	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0251_004_0	2018	4	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0294_002_0	2018	3	1	2	3	4	5	Dental Platinum Rider					45.74445861	0	0	0	0	45.74445861	19.26082468	0	0	0	0	19.26082468	26.48363393	0	0	0	0	26.48363393	52055.06658	21.43948376	7.154314671	0	0	0	0	7.154314671	12968.59029	5.341264537	1.3620514	0	0	0	0	1.3620514	17188.34313	7.07921875	35	0	0	0	0	35	82212	33.85996705	897.8357379	0	0	0	0	897.8357379	2428
H0294_004_0	2018	3	1	2	3	4	5	Dental Platinum Rider					45.74445861	0	0	0	0	45.74445861	19.26082468	0	0	0	0	19.26082468	26.48363393	0	0	0	0	26.48363393	52055.06658	21.43948376	7.154314671	0	0	0	0	7.154314671	12968.59029	5.341264537	1.3620514	0	0	0	0	1.3620514	17188.34313	7.07921875	35	0	0	0	0	35	82212	33.85996705	1922.939692	0	0	0	0	1922.939692	2428
H0294_010_0	2018	4	1	2	3	4	5	Dental Platinum Rider					45.74445861	0	0	0	0	45.74445861	19.26082468	0	0	0	0	19.26082468	26.48363393	0	0	0	0	26.48363393	52055.06658	21.43948376	7.154314671	0	0	0	0	7.154314671	12968.59029	5.341264537	1.3620514	0	0	0	0	1.3620514	17188.34313	7.07921875	35	0	0	0	0	35	82212	33.85996705	57.48218978	0	0	0	0	57.48218978	2428
H0294_011_0	2018	4	1	2	3	4	5	Dental Platinum Rider					45.74445861	0	0	0	0	45.74445861	19.26082468	0	0	0	0	19.26082468	26.48363393	0	0	0	0	26.48363393	52055.06658	21.43948376	7.154314671	0	0	0	0	7.154314671	12968.59029	5.341264537	1.3620514	0	0	0	0	1.3620514	17188.34313	7.07921875	35	0	0	0	0	35	82212	33.85996705	70.2993209	0	0	0	0	70.2993209	2428
H0294_012_0	2018	4	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52055.06658	21.43948376	0	0	0	0	0	0	12968.59029	5.341264537	0	0	0	0	0	0	17188.34313	7.07921875	0	0	0	0	0	0	82212	33.85996705	0	0	0	0	0	0	2428
H0302_001_0	2018	8	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0302_006_0	2018	8	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0302_008_0	2018	7	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0321_002_0	2018	4	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0321_004_0	2018	4	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0332_001_0	2018	4	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	
H0332_002_0	2018	6	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	
H0332_003_0	2018	4	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	
H0332_004_0	2018	5	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	
H0351_030_0	2018	5	1	2	3	4	5	Gold Package # 1	Gold Package # 2				59.92164651	24.72082946				38.6447082	21.80164651	7.080829455				12.90373042	38.12	17.64	0	0	0	25.74097778	938219.67	27.86432449	8.16	5.52				6.564266667	178694.4975	5.307074263	2.72	1.84				2.188088889	59564.8325	1.769024754	49	25	0	0	0	34.49333333	1176479	34.94042351	87.61991296	133.8911029				221.5110159	33671
H0351_038_0	2018	5	1	2	3	4	5	Gold Package # 3	Gold Package # 4				56.04164651	21.42082946				34.7525373	21.45164651	6.730829455				12.39948921	34.59	14.69	0	0	0	22.35304809	938219.67	27.86432449	7.8075	4.7325				5.916614215	178694.4975	5.307074263	2.6025	1.5775				1.972204738	59564.8325	1.769024754	45	21	0	0	0	30.24186704	1176479	34.94042351	948.5749322	1514.758317				2463.333249	33671
H0351_041_0	2018	4	1	2	3	4	5	Gold Package # 5					4.081141825					4.081141825	1.061141825					1.061141825	3.02	0	0	0	0	3.02	938219.67	27.86432449	0.735					0.735	178694.4975	5.307074263	0.245					0.245	59564.8325	1.769024754	4	0	0	0	0	4	1176479	34.94042351	415.824654					415.824654	33671
H0351_042_0	2018	4	1	2	3	4	5	Gold Package # 3	Gold Package # 4				56.04164651	21.42082946				32.12595052	21.45164651	6.730829455				11.28266105	34.59	14.69	0	0	0	20.84328947	938219.67	27.86432449	7.8075	4.7325				5.683322368	178694.4975	5.307074263	2.6025	1.5775				1.894440789	59564.8325	1.769024754	45	21	0	0	0	28.42105263	1176479	34.94042351	82.43865572	184.1714649				266.6101206	33671
H0351_043_1	2018	5	1	2	3	4	5	Gold Package #3	Gold Package #4				56.04164651	21.42082946				41.06699461	21.45164651	6.730829455				15.08440478	34.59	14.69	0	0	0	25.98258983	938219.67	27.86432449	7.8075	4.7325				6.477460489	178694.4975	5.307074263	2.6025	1.5775				2.159153496	59564.8325	1.769024754	45	21	0	0	0	34.61920382	1176479	34.94042351	2023.949515	1542.689843				3566.639358	33671
H0351_043_4	2018	5	1	2	3	4	5	Gold Package #3	Gold Package #4				56.04164651	21.42082946				41.06699461	21.45164651	6.730829455				15.08440478	34.59	14.69	0	0	0	25.98258983	938219.67	27.86432449	7.8075	4.7325				6.477460489	178694.4975	5.307074263	2.6025	1.5775				2.159153496	59564.8325	1.769024754	45	21	0	0	0	34.61920382	1176479	34.94042351	1252.399604	954.6009595				2207.000564	33671
H0351_044_1	2018	4	1	2	3	4	5	Gold Package # 1	Gold Package # 2				59.92164651	24.72082946				37.80609485	21.80164651	7.080829455				12.55302624	38.12	17.64	0	0	0	25.25306861	938219.67	27.86432449	8.16	5.52				6.501372125	178694.4975	5.307074263	2.72	1.84				2.167124042	59564.8325	1.769024754	49	25	0	0	0	33.92156477	1176479	34.94042351	480.475248	812.056527				1292.531775	33671
H0351_044_2	2018	6	1	2	3	4	5	Gold Package # 1	Gold Package # 2				59.92164651	24.72082946				59.92164651	21.80164651	7.080829455				21.80164651	38.12	17.64	0	0	0	38.12	938219.67	27.86432449	8.16	5.52				8.16	178694.4975	5.307074263	2.72	1.84				2.72	59564.8325	1.769024754	49	25	0	0	0	49	1176479	34.94042351	1236.352431					1236.352431	33671
H0351_044_3	2018	4	1	2	3	4	5	Gold Package # 1	Gold Package # 2				59.92164651	24.72082946				37.80609485	21.80164651	7.080829455				12.55302624	38.12	17.64	0	0	0	25.25306861	938219.67	27.86432449	8.16	5.52				6.501372125	178694.4975	5.307074263	2.72	1.84				2.167124042	59564.8325	1.769024754	49	25	0	0	0	33.92156477	1176479	34.94042351	450.7446989	761.8085974				1212.553296	33671
H0351_049_1	2018	5	1	2	3	4	5	Gold Package #3	Gold Package #4				56.04164651	21.42082946				35.48221835	21.45164651	6.730829455				12.70975055	34.59	14.69	0	0	0	22.7724678	938219.67	27.86432449	7.8075	4.7325				5.981424044	178694.4975	5.307074263	2.6025	1.5775				1.993808015	59564.8325	1.769024754	45	21	0	0	0	30.74769986	1176479	34.94042351	2182.874453	3191.622879				5374.497333	33671
H0351_049_2	2018	5	1	2	3	4	5	Gold Package #3	Gold Package #4				56.04164651	21.42082946				35.48221835	21.45164651	6.730829455				12.70975055	34.59	14.69	0	0	0	22.7724678	938219.67	27.86432449	7.8075	4.7325				5.981424044	178694.4975	5.307074263	2.6025	1.5775				1.993808015	59564.8325	1.769024754	45	21	0	0	0	30.74769986	1176479	34.94042351	1059.85949	1549.641021				2609.50051	33671
H0354_001_0	2018	6	1	2	3	4	5	Cigna Dental Care Plan					39.25330867					39.25330867	24.34330867					24.34330867	14.91	0	0	0	0	14.91	1767539.52	13.12	2.84					2.84	382607.64	2.84	2.25					2.25	544272.84	4.04	20	0	0	0	0	20	2694420	20	105613.2					105613.2	134721
H0354_024_0	2018	6	1	2	3	4	5	Cigna Dental Care Plan					39.25330867					39.25330867	24.34330867					24.34330867	14.91	0	0	0	0	14.91	1767539.52	13.12	2.84					2.84	382607.64	2.84	2.25					2.25	544272.84	4.04	20	0	0	0	0	20	2694420	20	2614.5					2614.5	134721
H0354_027_0	2018	6	1	2	3	4	5	Cigna Dental Care Plan					39.25330867					39.25330867	24.34330867					24.34330867	14.91	0	0	0	0	14.91	1767539.52	13.12	2.84					2.84	382607.64	2.84	2.25					2.25	544272.84	4.04	20	0	0	0	0	20	2694420	20	11125.8					11125.8	134721
H0423_001_0	2018	6	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0423_004_0	2018	7	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0432_001_0	2018	6	1	2	3	4	5	Dental Platinum Rider					41.75511629	0	0	0	0	41.75511629	17.58110159	0	0	0	0	17.58110159	24.17401469	0	0	0	0	24.17401469	0	0	6.843506711	0	0	0	0	6.843506711	0	0	2.982478598	0	0	0	0	2.982478598	0	0	34	0	0	0	0	34	0	0	210.8979627	0	0	0	0	210.8979627	0
H0432_002_0	2018	6	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0432_003_0	2018	6	1	2	3	4	5	Dental Platinum Rider					41.75511629	0	0	0	0	41.75511629	17.58110159	0	0	0	0	17.58110159	24.17401469	0	0	0	0	24.17401469	0	0	6.843506711	0	0	0	0	6.843506711	0	0	2.982478598	0	0	0	0	2.982478598	0	0	34	0	0	0	0	34	0	0	351.4966045	0	0	0	0	351.4966045	0
H0432_004_0	2018	6	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0432_005_0	2018	6	1	2	3	4	5	Dental Platinum Rider					41.75511629	0	0	0	0	41.75511629	17.58110159	0	0	0	0	17.58110159	24.17401469	0	0	0	0	24.17401469	0	0	6.843506711	0	0	0	0	6.843506711	0	0	2.982478598	0	0	0	0	2.982478598	0	0	34	0	0	0	0	34	0	0	281.1972836	0	0	0	0	281.1972836	0
H0432_006_0	2018	6	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0432_007_0	2018	6	1	2	3	4	5	Dental Platinum Rider					41.75511629	0	0	0	0	41.75511629	17.58110159	0	0	0	0	17.58110159	24.17401469	0	0	0	0	24.17401469	0	0	6.843506711	0	0	0	0	6.843506711	0	0	2.982478598	0	0	0	0	2.982478598	0	0	34	0	0	0	0	34	0	0	351.4966045	0	0	0	0	351.4966045	0
H0432_008_0	2018	6	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0432_009_0	2018	6	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0439_002_0	2018	4	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	
H0439_003_1	2018	3	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	
H0439_003_2	2018	3	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	
H0490_004_0	2018	5	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0504_015_0	2018	3	1	2	3	4	5	Dental HMO	Dental PPO				15.8344	43.0144				19.34401138	6.4606	15.7321				7.65778035	9.3738	27.2823	0	0	0	11.68623103	1575658.901	9.307289144	2.7296	5.7594				3.120822243	478205.4578	2.824720796	1.0966	1.8583				1.194954341	37930.8386	0.224054383	13.2	34.9	0	0	0	16.00200761	2091795.198	12.35606432	6353.248368	941.9969027				7295.245271	169293
H0504_017_0	2018	3	1	2	3	4	5	Dental HMO	Dental PPO				15.8344	43.0144				19.34401138	6.4606	15.7321				7.65778035	9.3738	27.2823	0	0	0	11.68623103	1575658.901	9.307289144	2.7296	5.7594				3.120822243	478205.4578	2.824720796	1.0966	1.8583				1.194954341	37930.8386	0.224054383	13.2	34.9	0	0	0	16.00200761	2091795.198	12.35606432	772.6796676	114.5653076				887.2449753	169293
H0504_021_0	2018	3	1	2	3	4	5	Dental HMO	Dental PPO				15.8344	43.0144				19.34401138	6.4606	15.7321				7.65778035	9.3738	27.2823	0	0	0	11.68623103	1575658.901	9.307289144	2.7296	5.7594				3.120822243	478205.4578	2.824720796	1.0966	1.8583				1.194954341	37930.8386	0.224054383	13.2	34.9	0	0	0	16.00200761	2091795.198	12.35606432	3089.903473	458.140361				3548.043834	169293
H0504_026_0	2018	4	1	2	3	4	5	Dental HMO	Dental PPO				15.8344	43.0144				19.34401138	6.4606	15.7321				7.65778035	9.3738	27.2823	0	0	0	11.68623103	1575658.901	9.307289144	2.7296	5.7594				3.120822243	478205.4578	2.824720796	1.0966	1.8583				1.194954341	37930.8386	0.224054383	13.2	34.9	0	0	0	16.00200761	2091795.198	12.35606432	428.2221022	63.4925428				491.714645	169293
H0504_028_0	2018	4	1	2	3	4	5	Dental HMO	Dental PPO				15.8344	43.0144				19.34401138	6.4606	15.7321				7.65778035	9.3738	27.2823	0	0	0	11.68623103	1575658.901	9.307289144	2.7296	5.7594				3.120822243	478205.4578	2.824720796	1.0966	1.8583				1.194954341	37930.8386	0.224054383	13.2	34.9	0	0	0	16.00200761	2091795.198	12.35606432	863.1395645	127.9778075				991.117372	169293
H0504_029_0	2018	4	1	2	3	4	5	Dental HMO	Dental PPO				15.8344	43.0144				19.34401138	6.4606	15.7321				7.65778035	9.3738	27.2823	0	0	0	11.68623103	1575658.901	9.307289144	2.7296	5.7594				3.120822243	478205.4578	2.824720796	1.0966	1.8583				1.194954341	37930.8386	0.224054383	13.2	34.9	0	0	0	16.00200761	2091795.198	12.35606432	728.7319288	108.0491711				836.7810998	169293
H0504_031_0	2018	4	1	2	3	4	5	Dental HMO	Dental PPO				15.8344	43.0144				19.34401138	6.4606	15.7321				7.65778035	9.3738	27.2823	0	0	0	11.68623103	1575658.901	9.307289144	2.7296	5.7594				3.120822243	478205.4578	2.824720796	1.0966	1.8583				1.194954341	37930.8386	0.224054383	13.2	34.9	0	0	0	16.00200761	2091795.198	12.35606432	255.3367944	37.85881734				293.1956118	169293
H0504_037_0	2018	4	1	2	3	4	5	Dental HMO	Dental PPO				15.8344	43.0144				19.34401138	6.4606	15.7321				7.65778035	9.3738	27.2823	0	0	0	11.68623103	1575658.901	9.307289144	2.7296	5.7594				3.120822243	478205.4578	2.824720796	1.0966	1.8583				1.194954341	37930.8386	0.224054383	13.2	34.9	0	0	0	16.00200761	2091795.198	12.35606432	1165.692768	172.8374075				1338.530176	169293
H0504_038_0	2018	4	1	2	3	4	5	Dental HMO	Dental PPO				15.8344	43.0144				19.34401138	6.4606	15.7321				7.65778035	9.3738	27.2823	0	0	0	11.68623103		0	2.7296	5.7594				3.120822243		0	1.0966	1.8583				1.194954341	0	0	13.2	34.9	0	0	0	16.00200761		0	828.6622663	122.8658543				951.5281206	
H0504_039_0	2018	5	1	2	3	4	5	Dental PPO					43.0144					43.0144	15.7321					15.7321	27.2823	0	0	0	0	27.2823		0	5.7594					5.7594		0	1.8583					1.8583	0	0	34.9	0	0	0	0	34.9		0	24.762793					24.762793	
H0523_002_0	2018	6	1	2	3	4	5	DMO Dental	DMO Dental Plus EyeWear	DMO Dental Plus EyeWear and Hearing Aids			10.43168183	16.68168183	19.18168183			15.43168183	1.941666667	1.941666667	1.941666667			1.941666667	8.490015167	14.74001517	17.24001517	0	0	13.49001517	213224.7	6.837192971	1.67	2.17	2.5			2.113333333	209191.6997	6.707872113	0.84	1.09	1.26			1.063333333	-7712.999726	-0.247322508	11	18	21	0	0	16.66666667	414703.4	13.29774258	1047	1047	1047			3141	31186
H0523_022_0	2018	3	1	2	3	4	5											0						0	0	0	0	0	0	0	213224.7	6.837192971						0	209191.6997	6.707872113						0	-7712.999726	-0.247322508	0	0	0	0	0	0	414703.4	13.29774258						0	31186
H0523_031_0	2018	3	1	2	3	4	5											0						0	0	0	0	0	0	0	213224.7	6.837192971						0	209191.6997	6.707872113						0	-7712.999726	-0.247322508	0	0	0	0	0	0	414703.4	13.29774258						0	31186
H0523_052_0	2018	3	1	2	3	4	5											0						0	0	0	0	0	0	0	213224.7	6.837192971						0	209191.6997	6.707872113						0	-7712.999726	-0.247322508	0	0	0	0	0	0	414703.4	13.29774258						0	31186
H0523_060_0	2018	3	1	2	3	4	5											0						0	0	0	0	0	0	0	213224.7	6.837192971						0	209191.6997	6.707872113						0	-7712.999726	-0.247322508	0	0	0	0	0	0	414703.4	13.29774258						0	31186
H0523_061_0	2018	3	1	2	3	4	5											0						0	0	0	0	0	0	0	213224.7	6.837192971						0	209191.6997	6.707872113						0	-7712.999726	-0.247322508	0	0	0	0	0	0	414703.4	13.29774258						0	31186
