,state_code,prov_nbr,name,address,city,state,zip
80,01,2599,FMC PORT CITY ,"201 ST. JOSEPH STREET, SUITE B",MOBILE,AL,36602
81,01,2600,DAVITA ATMORE DIALYSIS CENTER ,807 EAST CRAIG STREET ,ATMORE,AL,36502
82,01,2601,FMC WEST,633 LOMB AVENUE ,BIRMINGHAM,AL,35211
83,01,2602,DAVITA RUSSELLVILLE DIALYSIS,14897 HWY 43,RUSSELLVILLE,AL,35653
84,01,2603,FMC FAIRFIELD (STEEL CITY),6508 E. J. OLIVER BLVD,FAIRFIELD ,AL,35064
85,01,2604,RCG CLANTON ,275 HEALTH CENTER DRIVE ,CLANTON ,AL,35045
86,01,2606,FMC CHASE ,1849 KEATS DRIVE NORTHWEST,HUNTSVILLE,AL,35810
87,01,2607,ROANOKE DIALYSIS CLINIC ,4459 US HIGHWAY 431 ,ROANOKE ,AL,36274
88,01,2608,RCG ONEONTA ,"150 GILBREATH DRIVE, SUITE 1",ONEONTA ,AL,35121
89,01,2609,DAVITA EUFAULA DIALYSIS ,220 SOUTH ORANGE AVE,EUFAULA ,AL,36027
90,01,2610,FMC MAGNOLIA,7940 MOFFETT ROAD ,SEMMES,AL,36575
91,01,2611,FMC DALLAS COUNTY ,200 SOUTH PARK PL ,SELMA ,AL,36701
92,01,2612,FMC GARDENDALE,592 FIELDSTOWN ROAD SUITE 102 ,GARDENDALE,AL,35071
93,01,2613,FMC DISCOVERY ,"1131 EAGLETREE LN, STE100 ",HUNTSVILLE,AL,35801
94,01,2614,FMC VALLEY CREEK,201 LINCOLN LANE,SELMA ,AL,36701
95,01,2615,FMC AUBURN,211 E UNIVERSITY DR ,AUBURN,AL,36832
96,01,2616,LANDMARK DIALYSIS ,717 STONE AVE ,TALLADEGA ,AL,35160
97,01,2617,FMC ALEXANDER CITY,3368 HWY 280 BYPASS SUITE G-1 ,ALEXANDER CITY,AL,35010
98,01,2618,RRC NORTHRIDGE,4400 WATERMELON ROADSUITE A ,NORTHPORT ,AL,35473
99,01,2619,GBR LLC ,1850 MCFARLAND BLVD NORTH ,TUSCALOOSA,AL,35406
100,01,2620,HOME DIALYSIS OF NORTH ALABAMA,"1216 SOMERVILLE ROAD, SE",DECATUR ,AL,35601
101,01,2621,RAI-SNOW ST-OXFORD,711 SNOW STREET ,OXFORD,AL,36203
102,01,2622,DAVITA TALLADEGA DIALYSIS ,726 E BATTLE STREET SUITE A ,TALLADEGA ,AL,35160
103,01,2623,DAVITA CENTER POINT DIALYSIS,2337 1ST ST NE,CENTER POINT,AL,35215
104,01,2624,FMC MIDFIELD DIALYSIS ,613 BESSEMER SUPER HIGHWAY,BIRMINGHAM,AL,35228
105,01,2625,RAI JACKSONVILLE,"331 HENRY RD, S.W.",JACKSONVILLE,AL,36265
106,01,2626,FMC NORTHWEST ALABAMA KIDNEY CENTER ,638 TAHOE ROAD,WINFIELD,AL,35594
107,01,2627,DAVITA HOME DIALYSIS OPTIONS OF BALDWIN COUNTY PD ,"27880 N. MAIN ST, SUITE A ",DAPHNE,AL,36526
108,01,2628,DAVITA OPELIKA DIALYSIS CENTER,2340 PEPPERELL PKWY ,OPELIKA ,AL,36801
109,01,2629,DAVITA RENAISSANCE DIALYSIS ,1840 DARBY DRIVE,FLORENCE,AL,35630
110,01,2630,DAVITA WIREGRASS KIDNEY CENTER,1450 ROSS CLARK CIRCLESUITE 200 ,DOTHAN,AL,36301
111,01,2631,DAVITA GULF SHORES DIALYSIS CENTER,3947 GULF SHORES PARKWAY,GULF SHORES ,AL,36542
112,01,2632,DAVITA MUSCLE SHOALS DIALYSIS ,712 STATE STREET,MUSCLE SHOALS ,AL,35661
113,01,2633,FMC PRATTVILLE,692 COVERED BRIDGE PARKWAY,PRATTVILLE,AL,36066
114,01,2634,FMC FOLEY ,230 EAST FERN AVENUE,FOLEY ,AL,36535
115,01,2636,FMC JAGUAR,575 STANTON ROADUNIT B,MOBILE,AL,36617
116,01,2637,DCI HIGHLAND PARK ,1912 CHERRY STREET,MONTGOMERY,AL,36107
117,01,2638,FMC HOOVER,2104 LORNA RIDGE LANE ,HOOVER,AL,35216
118,01,2639,FMC MONTEVALLO,3883 HIGHWAY 25 ,MONTEVALLO,AL,35115
119,01,2640,DAVITA PICKENS COUNTY DIALYSIS,289 WILLIAM E HILL DRIVESUITE A ,CARROLLTON,AL,35447
120,01,2641,DCI EVERGREEN ,822 WILD AVENUE ,EVERGREEN ,AL,36401
121,01,2642,DAVITA ENTERPRISE DIALYSIS,6002 BOLL WEEVIL CIRCLE ,ENTERPRISE,AL,36330
122,01,2643,ENDEAVOR DIALYSIS ,1675 SPARKMAN DRIVE ,HUNTSVILLE,AL,35816
123,01,2644,DAVITA JEWEL DIALYSIS ,514 W. TOWN PLAZA ,BESSEMER,AL,35020
124,01,2645,DAVITA MAGIC CITY DIALYSIS PD ,300 22ND ST. S,BIRMINGHAM,AL,35233
125,01,2646,DAVITA STEEL CITY DIALYSIS,1809 AVENUE H ,BIRMINGHAM,AL,35218
126,01,2647,DAVITA CROWN DIALYSIS ,3007 27TH STREET NORTH,BIRMINGHAM,AL,35207
127,01,2648,"FRESENIUS KIDNEY CARE GADSDEN ACQ, LLC",800 GOODYEAR AVENUE ,GADSDEN ,AL,35903
128,01,2649,"FRESENIUS KIDNEY CARE UNION SPRINGS, LLC",112 W CONECUH AVE ,UNION SPRINGS ,AL,36089
129,01,2650,DAVITA LIMESTONE COUNTY DIALYSIS,16236 LUCAS FERRY ROAD,ATHENS,AL,35611
130,01,2651,FMC FORESTDALE,1004 FORESTDALE BLVD,BIRMINGHAM,AL,35214
131,01,2652,DAVITA LEEDS DIALYSIS ,1650 MAXEY DRIVE,LEEDS ,AL,35094
132,01,2653,"FRESENIUS KIDNEY CARE PHENIX CITY, LLC",5009 RIVERCHASE DRIVE SUITE 300 ,PHENIX CITY ,AL,36867
133,01,2654,BIO-MEDICAL APPLICATIONS OF ALABAMA ,100 MITYLENE PARK LN,MONTGOMERY,AL,36117
134,01,2655,RENAL TREATMENT CENTERS SOUTHEAST LP,757 SOUTH THREE NOTCH STREET,ANDALUSIA ,AL,36420
135,01,2656,DCI MITYLENE PARK ,29 MITYLENE PARK LANE ,MONTGOMERY,AL,36117
136,01,2657,"FRESENIUS MEDICAL CARE BIRMINGHAM HOME, LLC ",35 WEST LAKESHORE DRIVE SUITE 105 ,BIRMINGHAM,AL,35209
137,01,2658,RENAL TREATMENT CENTERS SOUTHEAST LP,40 PURPLE HEART BLVD,SPRINGVILLE ,AL,35146
138,01,2659,"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC. ",9540 PARKWAY E,BIRMINGHAM,AL,35215
139,01,2660,"FRESENIUS KIDNEY CARE ATTALLA, LLC",801 GILBERT FERRY RD SE ,ATTALLA ,AL,35954
140,01,2661,"RTC-SOUTHEAST, LP ",300 MEDICAL CENTER DRIVESUITE 100 ,GADSDEN ,AL,35903
141,01,2662,FRESENIUS MEDICAL CARE,114 MITYLENE PARK LANE,MONTGOMERY,AL,36117
142,01,2663,RENAL TREATMENT CENTERS SOUTHEAST LP,611 EAST LAFAYETTE STREET ,MARION,AL,36756
143,01,2664,"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC. ",12401 SKOPELOS RD ,GRAND BAY ,AL,36541
144,01,2665,"RENAL TREATMENT CENTERS SOUTHEAST, LP ",1023 DOUGLAS AVENUE SUITE 300 ,BREWTON ,AL,36426
145,01,2666,"RTC-SOUTHEAST, LP ",1612 NOBLE STREET ,ANNISTON,AL,36201
146,01,2667,"BIO MEDICAL APPLICATIONS OF ALABAMA, INC. ",917 B PLANTATION BLVD ,FAIRHOPE,AL,36532
147,01,2668,"BAGBY DIALYSIS, LLC ",671 OZARK ROAD,ABBEVILLE ,AL,36310
148,01,2669,"FARRAGUT DIALYSIS, INC",2958 DORCHESTER DRIVE ,MONTGOMERY,AL,36116
149,01,2670,DVA RENAL HEALTHCARE INC,300-B 22ND STREET SOUTH ,BIRMINGHAM,AL,35233
150,01,2671,"FRESENIUS MEDICAL CARE HUNTSVILLE HOME, LLC ",2325 PANSY STREET ,HUNTSVILLE,AL,35801
151,01,2672,"FRESENIUS MEDICAL CARE WEST MADISON, LLC",29569 HUNTSVILLE BROWNS FERRY RD,MADISON ,AL,35756
152,01,2673,DAVITA HOME OPTIONS OF DOTHAN (PD),1763 E MAIN STREET,DOTHAN,AL,36301
153,01,2674,"BIO MEDICAL APPLICATIONS OF ALABAMA, INC",700 SARA G LOTT BLVD,BRUNDIDGE ,AL,36010
154,01,2676,DAVITA GREYSTONE DIALYSIS ,"5406 HIGHWAY 280, SUITE D107",BIRMINGHAM,AL,35242
155,01,2677,"DIALYSIS CLINIC, INC",100 W LAKE PROFESSIONAL PARKSUITE 7 ,GENEVA,AL,36340
156,01,2678,"FRESENIUS MEDICAL CARE MCCALLA, LLC ",4748 BELL HILL ROAD ,BESSEMER,AL,35022
157,01,2679,DAVITA WHITE BLUFF DIALYSIS ,"505 HIGHWAY 80 W, SUITE F ",DEMOPOLIS ,AL,36732
158,01,2680,BIO-MEDICAL APPLICATIONS OF ALABAMA ,1012 FRIENDSHIP ROAD,TALLASSEE ,AL,36078
159,01,2681,"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC",11839 HIGHWAY 231-431 NORTH ,MERIDIANVILLE ,AL,35759
160,01,2682,"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC. ","2017 QUINTARD AVE, SUITE B",ANNISTON,AL,36201
161,01,2684,"FRESENIUS MEDICAL CARE ALBERTVILLE, LLC ",173 BUSINESS PARK DR,ALBERTVILLE ,AL,35951
162,01,2685,DAVITA MODEL CITY HT AT HOME DIALYSIS ,1724 LEIGHTON AVE ,ANNISTON,AL,36207
163,01,2686,"FRESENIUS MEDICAL CARE ANNISTON HOME, LLC ","2017 QUINTARD AVENUE, SUITE A ",ANNISTON,AL,36201
164,01,2687,"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC","2024 4TH AVE SOUTH, SUITE 100 ",BIRMINGHAM,AL,35233
165,01,2688,"FRESENIUS MEDICAL CARE TRUSSVILLE, LLC",3671 ROOSEVELT BLVD ,BIRMINGHAM,AL,35235
166,01,2690,BIO MEDICAL APPLICATIONS OF ALABAMA INC ,118 OBRANNAN PARK DRIVE ,DOTHAN,AL,36303
167,01,2692,BIO MEDICAL APPLICATIONS OF ALABAMA INC ,2834 SPRING AVENUE SW ,DECATUR ,AL,35603
168,01,2693,DAVITA SPRINGS DIALYSIS ,5200 VIRGINIA WAY L&C DEPT,TRUSSVILLE,TN,37027
169,01,2694,DAVITA COLONEL DIALYSIS ,1830 LEE AVE SW SUITE B-D ,CULLMAN ,AL,35055
170,01,2695,BIO MEDICAL APPLICATIONS OF ALABAMA ,8000 CHARLOTTE DRIVE SW ,HUNTSVILLE,AL,35802
171,01,2696,BIO-MEDICAL APPLICATIONS OF ALABAMA ,107 SARALAND LOOP ,SARALAND,AL,36571
172,01,2697,DAVITA BARBOUR COUNTY DIALYSIS,"1218 S EULAULA AVE, SUITE 1234",EUFAULA ,AL,36027
173,01,2698,PHYSICIANS CHOICE DIALYSIS OF LUVERNE ,1014 S FOREST AVENUE,LUVERNE ,AL,36049
174,01,2699,"DIALYSIS SERVICES OF DECATUR, LLC ",2705 HIGHWAY 31 SOUTH ,DECATUR ,AL,35603
175,01,2700,DAVITA CRIMSON DIALYSIS ,6521 HWY 69 S STE O ,TUSCALOOSA,AL,35404
176,01,2701,DAVITA MAJESTIC DIALYSIS,1510 EASTERN BOULEVARD,MONTGOMERY,AL,36117
177,01,2702,"CHEROKEE COMMUNITY DIALYSIS, LLC",485 NORTHWOOD DRIVE ,CENTRE,AL,35960
178,01,2703,"DIALYSIS CLINIC, INC. ",208 BROADWAY DR SW,CULLMAN ,AL,35055
179,01,2704,PRATTVILLE COMMUNITY DIALYSIS LLC ,1815 GLYNWOOD DRIVE ,PRATTVILLE,AL,36066
180,01,2705,"FRESENIUS MEDICAL CARE COOSA RIVER, LLC ",708 S 4TH ST,GADSDEN ,AL,35901
181,01,2706,"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC. ",105 INVERNESS CORS,BIRMINGHAM,AL,35242
182,01,2707,"SAPPHIRE COMMUNITY DIALYSIS, LLC",8149 DECKER LN,MONTGOMERY,AL,36117
183,01,2708,"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC. ",1850 PARKLAND DR NE ,CULLMAN ,AL,35058
184,01,2709,PHYSICIANS CHOICE DIALYSIS OF MONTGOMERY LLC,2201 E SOUTH BLVD ,MONTGOMERY,AL,36116
185,01,2710,"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC. ",40 WASDEN RD,HOPE HULL ,AL,36043
186,01,9800,UNIV OF AL- BIRMINGHAM TRANSPLANT ,701 19TH STREET SOUTH ,BIRMINGHAM,AL,35294
187,01,9801,CHILDRENS HOSPITAL TRANSPLANT ,1600 7TH AVENUE SOUTH ,BIRMINGHAM,AL,35233
188,02,2500,FMC ANCHORAGE ,3950 LAUREL STREET,ANCHORAGE ,AK,99508
189,02,2502,FMC FAIRBANKS ,1863 AIRPORT WAY,FAIRBANKS ,AK,99701
190,02,2503,FMC WASILLA ,3787 E MERIDIAN LOOP,WASILLA ,AK,99654
191,02,2504,REIFENSTEIN DIALYSIS CENTER ,9109 MENDENHALL MALL RD SUITE #6,JUNEAU,AK,99801
192,02,2506,LIBERTY DIALYSIS - ALASKA LLC ,901 EAST DIMOND BOULEVARD SUITE G ,ANCHORAGE ,AK,99515
193,02,2507,FMC COOK INLET,9085 BLACKBERRY ST,ANCHORAGE ,AK,99502
194,02,2508,FMC SOLDOTNA,289 N FIREWOOD LANE STE A ,SOLDOTNA,AK,99669
195,02,2509,DENALI DIALYSIS CENTER,360 BONIFACE PKWY SUITE A11 ,ANCHORAGE ,AK,99504
196,02,2510,TUDOR DIALYSIS,2735 E TUDOR RD ,ANCHORAGE ,AK,99507
197,03,2300,032300T BANNER GOOD SAMARITAN TRANSPLANT CTR,1441 N 12TH ST,PHOENIX ,AZ,85006
198,03,2302,032302 MARICOPA MEDICAL CTR - DIALYSIS,2525 E ROOSEVELT ST ,PHOENIX ,AZ,85008
199,03,2304,032304T UAHSC TRANSPLANT,P O BOX 245003,TUCSON,AZ,85724
200,03,2313,032313T MAYO CLINIC HOSPITAL - KIDNEY TX,5777 E MAYO BLVD - TRANSPLANT SOCIAL WORK ,PHOENIX ,AZ,85054
201,03,2314,032314T PHOENIX CHILDRENS HOSPITAL- RENAL TRANSPLANT CTR,1919 E THOMAS ROAD,PHOENIX ,AZ,85016
202,03,2314,032314 PHOENIX CHILDRENS HOSPITAL- DIALYSIS CENTER,1920 E CAMBRIDGE RD STE 102 ,PHOENIX ,AZ,85016
203,03,2315,032315 GILA RIVER DIALYSIS EAST ,PO BOX 2176 ,SACATON ,AZ,85147
204,03,2316,032316 BANNER UNIVERSITY MEDICAL CENTER PEDIATRIC OUTPATIENT,1501 N CAMPBELL AVE ,TUCSON,AZ,85724
205,03,2500,032500 TUCSON WEST DIALYSIS (DVA) ,1780 W ANKLAM RD,TUCSON,AZ,85745
206,03,2501,032501 TUCSON EAST DIALYSIS (DVA) ,6420 E BROADWAY BLVD STE C300 ,TUCSON,AZ,85710
207,03,2502,032502 YUMA DIALYSIS (DVA),2130 W 24TH ST,YUMA,AZ,85364
208,03,2503,032503 PHOENIX ARTIFICIAL KIDNEY CENTER (FMC) ,13090 N 94TH DR STE 100 ,PEORIA,AZ,85381
209,03,2506,032506 TUBA CITY DIALYSIS UNIT (DVA),500 EDGEWATER DRIVE PO BOX 2910 ,TUBA CITY ,AZ,86045
210,03,2508,032508 SOUTH PHOENIX DIALYSIS SERVICES (FMC),1021 S 7TH AVE STE 108,PHOENIX ,AZ,85007
211,03,2509,032509 EAST VALLEY DIALYSIS (FMC) ,135 S POWER RD STE 103,MESA,AZ,85206
212,03,2513,032513 SELLS DIALYSIS (DVA) ,P O BOX 3030,SELLS ,AZ,85634
213,03,2514,032514 DESERT DIALYSIS CENTER (DCI) ,2022 E PRINCE RD,TUCSON,AZ,85719
214,03,2516,032516 CHANDLER DIALYSIS (FMC),912 W CHANDLER BLVD BLDG A-D,CHANDLER,AZ,85225
215,03,2517,032517 CENTRAL PHX DIALYSIS (FMC) ,3421 N 7TH AVE,PHOENIX ,AZ,85013
216,03,2518,032518 FOUR CORNERS DIALYSIS CLINIC CHINLE (DVA),PO BOX 879,CHINLE,AZ,86503
217,03,2520,032520 SIERRA VISTA DIALYSIS (DVA),629 N HIGHWAY 90 STE 6 & 7,SIERRA VISTA,AZ,85635
218,03,2521,032521 DIALYSIS CENTER OF GLENDALE (FMC),5957 W NORTHERN AVE STE 108 ,GLENDALE,AZ,85301
219,03,2522,032522 PARKER DIALYSIS CENTER (FMC) ,P O BOX 3103,PARKER,AZ,85344
220,03,2523,032523 PRESCOTT DIALYSIS (DVA),980 WILLOW CREEK RD STE 101 ,PRESCOTT,AZ,86301
221,03,2524,032524 FLAGSTAFF DIALYSIS CENTER (FMC),5200 E CORTLAND BLVD STE A1-A4,FLAGSTAFF ,AZ,86004
222,03,2525,032525 DESERT MOUNTAIN DIALYSIS (DVA) ,9220 E MOUNTAIN VIEW RD STE 105 ,SCOTTSDALE,AZ,85258
223,03,2526,032526 SOUTHWEST MESA DIALYSIS (DSI),1457 W SOUTHERN AVE STE 19,MESA,AZ,85202
224,03,2528,032528 THUNDERBIRD DIALYSIS (FMC) ,5750 W THUNDERBIRD RD BLDG G #750 ,GLENDALE,AZ,85306
225,03,2530,032530 DESERT VALLEY DIALYSIS (FMC) ,3815 E. BELL ROAD SUITE 1100,PHOENIX ,AZ,85002
226,03,2533,032533 GLOBE DIALYSIS (FMC) ,2250 HIGHWAY 60 STE O-2 ,MIAMI ,AZ,85539
227,03,2535,032535 HOME DIALYSIS OF MESA (FMC),1337 S GILBERT RD STE 106 ,MESA,AZ,85204
228,03,2536,032536 WINSLOW DIALYSIS CENTER (FMC),721 MIKE'S PIKE STREET,WINSLOW ,AZ,86047
229,03,2537,032537 ESTRELLA DIALYSIS CENTER (FMC) ,5546 W ROOSEVELT ST STE 1 ,PHOENIX ,AZ,85043
230,03,2539,032539 MESA DIALYSIS CENTER (FMC) ,1525 N GILBERT RD STE 121 ,GILBERT ,AZ,85234
231,03,2540,032540 FRESENIUS KIDNEY CARE WESTERN SKIES,1041 N ARIZOLA RD ,CASA GRANDE ,AZ,85222
232,03,2541,032541 TEMPE DIALYSIS (FMC) ,1449 W SOUTHERN AVE ,TEMPE ,AZ,85282
233,03,2542,032542 ARCADIA DIALYSIS CENTER (FMC),4021 N. 30TH STREET ,PHOENIX ,AZ,85016
234,03,2543,032543 NOGALES DIALYSIS (DVA) ,1605 N. INDUSTRIAL PARK DR. STE H ,NOGALES ,AZ,85621
235,03,2544,032544 LAKE HAVASU DIALYSIS (FMC) ,2145 MESQUITE AVE ,LAKE HAVASU CITY,AZ,86403
236,03,2545,032545 SOUTH MOUNTAIN DIALYSIS CENTER (FMC) ,26 E BASELINE STE 142 ,PHOENIX ,AZ,85042
