,Column_Name,Categories,Missing_Values,Unique_Values
79,MEHBCombInnOonFamilyPerPersonMOOP,2,13605,2
80,MEHBCombInnOonFamilyPerGroupMOOP,2,13605,2
81,DEHBInnTier1IndividualMOOP,1,15682,3
82,DEHBInnTier1FamilyPerPersonMOOP,1,15682,3
83,DEHBInnTier1FamilyPerGroupMOOP,1,15682,3
84,DEHBInnTier2IndividualMOOP,1,15690,0
85,DEHBInnTier2FamilyPerPersonMOOP,1,15690,0
86,DEHBInnTier2FamilyPerGroupMOOP,1,15690,0
87,DEHBOutOfNetIndividualMOOP,1,15682,1
88,DEHBOutOfNetFamilyPerPersonMOOP,1,15682,1
89,DEHBOutOfNetFamilyPerGroupMOOP,1,15682,1
90,DEHBCombInnOonIndividualMOOP,1,15682,1
91,DEHBCombInnOonFamilyPerPersonMOOP,1,15682,1
92,DEHBCombInnOonFamilyPerGroupMOOP,1,15682,1
93,TEHBInnTier1IndividualMOOP,3,2085,137
94,TEHBInnTier1FamilyPerPersonMOOP,3,2085,141
95,TEHBInnTier1FamilyPerGroupMOOP,3,2085,148
96,TEHBInnTier2IndividualMOOP,3,12851,83
97,TEHBInnTier2FamilyPerPersonMOOP,3,12851,87
98,TEHBInnTier2FamilyPerGroupMOOP,3,12851,89
99,TEHBOutOfNetIndividualMOOP,3,2085,97
100,TEHBOutOfNetFamilyPerPersonMOOP,3,2085,103
101,TEHBOutOfNetFamilyPerGroupMOOP,3,2085,100
102,TEHBCombInnOonIndividualMOOP,3,2085,118
103,TEHBCombInnOonFamilyPerPersonMOOP,3,2085,117
104,TEHBCombInnOonFamilyPerGroupMOOP,3,2085,118
105,MEHBDedInnTier1Individual,2,9921,139
106,MEHBDedInnTier1FamilyPerPerson,2,9921,143
107,MEHBDedInnTier1FamilyPerGroup,2,9921,142
108,MEHBDedInnTier1Coinsurance,2,11998,17
109,MEHBDedInnTier2Individual,2,15229,52
110,MEHBDedInnTier2FamilyPerPerson,2,15229,52
111,MEHBDedInnTier2FamilyPerGroup,2,15229,54
112,MEHBDedInnTier2Coinsurance,2,15357,11
113,MEHBDedOutOfNetIndividual,2,9921,87
114,MEHBDedOutOfNetFamilyPerPerson,2,9921,94
115,MEHBDedOutOfNetFamilyPerGroup,2,9921,88
116,MEHBDedCombInnOonIndividual,2,9921,89
117,MEHBDedCombInnOonFamilyPerPerson,2,9921,88
118,MEHBDedCombInnOonFamilyPerGroup,2,9921,77
119,DEHBDedInnTier1Individual,1,11998,30
120,DEHBDedInnTier1FamilyPerPerson,1,11998,30
121,DEHBDedInnTier1FamilyPerGroup,1,11998,30
122,DEHBDedInnTier1Coinsurance,1,11998,18
123,DEHBDedInnTier2Individual,1,15357,13
124,DEHBDedInnTier2FamilyPerPerson,1,15357,13
125,DEHBDedInnTier2FamilyPerGroup,1,15357,14
126,DEHBDedInnTier2Coinsurance,1,15357,7
127,DEHBDedOutOfNetIndividual,1,11998,11
128,DEHBDedOutOfNetFamilyPerPerson,1,11998,11
129,DEHBDedOutOfNetFamilyPerGroup,1,11998,7
130,DEHBDedCombInnOonIndividual,1,11998,16
131,DEHBDedCombInnOonFamilyPerPerson,1,11998,16
132,DEHBDedCombInnOonFamilyPerGroup,1,11998,11
133,TEHBDedInnTier1Individual,3,5752,164
134,TEHBDedInnTier1FamilyPerPerson,3,5752,165
135,TEHBDedInnTier1FamilyPerGroup,3,5752,176
136,TEHBDedInnTier1Coinsurance,3,5752,21
137,TEHBDedInnTier2Individual,3,13184,112
138,TEHBDedInnTier2FamilyPerPerson,3,13184,110
139,TEHBDedInnTier2FamilyPerGroup,3,13184,114
140,TEHBDedInnTier2Coinsurance,3,13184,16
141,TEHBDedOutOfNetIndividual,3,5752,112
142,TEHBDedOutOfNetFamilyPerPerson,3,5752,111
143,TEHBDedOutOfNetFamilyPerGroup,3,5752,116
144,TEHBDedCombInnOonIndividual,3,5752,110
145,TEHBDedCombInnOonFamilyPerPerson,3,5752,111
146,TEHBDedCombInnOonFamilyPerGroup,3,5752,112
147,IsHSAEligible,0,2077,2
148,HSAOrHRAEmployerContribution,0,15132,2
149,HSAOrHRAEmployerContributionAmount,0,15684,2
150,URLForSummaryofBenefitsCoverage,0,1283,9000
151,PlanBrochure,0,1854,3809
